CCID,Group
sub_CC410251,adult
sub_CC410284,adult
sub_CC410287,adult
sub_CC410289,adult
sub_CC410297,adult
sub_CC410323,adult
sub_CC410325,adult
sub_CC410354,adult
sub_CC410387,adult
sub_CC410390,adult
sub_CC410432,adult
sub_CC412004,adult
sub_CC412021,adult
sub_CC420004,adult
sub_CC420060,adult
sub_CC420061,adult
sub_CC420071,adult
sub_CC420075,adult
sub_CC420089,adult
sub_CC420091,adult
sub_CC420094,adult
sub_CC420100,adult
sub_CC420137,adult
sub_CC420143,adult
sub_CC420148,adult
sub_CC420149,adult
sub_CC420157,adult
sub_CC420162,adult
sub_CC420167,adult
sub_CC420173,adult
sub_CC420180,adult
sub_CC420182,adult
sub_CC420197,adult
sub_CC420198,adult
sub_CC420202,adult
sub_CC420204,adult
sub_CC420217,adult
sub_CC420222,adult
sub_CC420226,adult
sub_CC420229,adult
sub_CC420231,adult
sub_CC420236,adult
sub_CC420241,adult
sub_CC420260,adult
sub_CC420261,adult
sub_CC420286,adult
sub_CC420322,adult
sub_CC420324,adult
sub_CC420348,adult
sub_CC420356,adult
sub_CC420383,adult
sub_CC420392,adult
sub_CC420396,adult
sub_CC420402,adult
sub_CC420412,adult
sub_CC420433,adult
sub_CC420435,adult
sub_CC420454,adult
sub_CC420462,adult
sub_CC420464,adult
sub_CC420493,adult
sub_CC420566,adult
sub_CC420582,adult
sub_CC420587,adult
sub_CC420589,adult
sub_CC420623,adult
sub_CC420720,adult
sub_CC420729,adult
sub_CC420776,adult
sub_CC420888,adult
sub_CC510039,adult
sub_CC510043,adult
sub_CC510050,adult
sub_CC510076,adult
sub_CC510086,older adult
sub_CC510115,adult
sub_CC510161,adult
sub_CC510163,adult
sub_CC510208,older adult
sub_CC510220,older adult
sub_CC510226,older adult
sub_CC510237,older adult
sub_CC510242,adult
sub_CC510243,adult
sub_CC510255,adult
sub_CC510258,adult
sub_CC510259,adult
sub_CC510284,adult
sub_CC510304,older adult
sub_CC510321,adult
sub_CC510323,adult
sub_CC510329,adult
sub_CC510342,adult
sub_CC510354,adult
sub_CC510355,older adult
sub_CC510392,older adult
sub_CC510393,older adult
sub_CC510395,older adult
sub_CC510415,adult
sub_CC510433,adult
sub_CC510434,older adult
sub_CC510438,adult
sub_CC510473,older adult
sub_CC510474,older adult
sub_CC510480,older adult
sub_CC510483,adult
sub_CC510486,adult
sub_CC510534,older adult
sub_CC510548,adult
sub_CC510551,adult
sub_CC510609,adult
sub_CC510629,adult
sub_CC510648,adult
sub_CC520002,adult
sub_CC520011,adult
sub_CC520013,older adult
sub_CC520042,adult
sub_CC520053,adult
sub_CC520055,adult
sub_CC520065,adult
sub_CC520078,adult
sub_CC520083,older adult
sub_CC520097,adult
sub_CC520122,older adult
sub_CC520127,older adult
sub_CC520134,older adult
sub_CC520136,older adult
sub_CC520147,adult
sub_CC520168,adult
sub_CC520175,adult
sub_CC520200,older adult
sub_CC520209,older adult
sub_CC520211,adult
sub_CC520215,adult
sub_CC520239,older adult
sub_CC520247,adult
sub_CC520253,adult
sub_CC520254,older adult
sub_CC520279,older adult
sub_CC520287,adult
sub_CC520377,adult
sub_CC520390,older adult
sub_CC520391,adult
sub_CC520395,adult
sub_CC520398,adult
sub_CC520424,adult
sub_CC520477,older adult
sub_CC520480,adult
sub_CC520503,older adult
sub_CC520517,older adult
sub_CC520560,older adult
sub_CC520562,older adult
sub_CC520584,adult
sub_CC520585,older adult
sub_CC520597,adult
sub_CC520607,adult
sub_CC520624,adult
sub_CC520673,older adult
sub_CC520745,adult
sub_CC520775,adult
sub_CC520868,older adult
sub_CC520980,older adult
sub_CC521040,adult
sub_CC610022,older adult
sub_CC610028,older adult
sub_CC610039,older adult
sub_CC610040,older adult
sub_CC610046,older adult
sub_CC610050,older adult
sub_CC610052,older adult
sub_CC610058,older adult
sub_CC610061,older adult
sub_CC610071,older adult
sub_CC610076,older adult
sub_CC610099,older adult
sub_CC610101,older adult
sub_CC610146,older adult
sub_CC610178,older adult
sub_CC610210,older adult
sub_CC610212,older adult
sub_CC610227,older adult
sub_CC610285,older adult
sub_CC610288,older adult
sub_CC610292,older adult
sub_CC610308,older adult
sub_CC610344,older adult
sub_CC610372,older adult
sub_CC610392,older adult
sub_CC610405,older adult
sub_CC610469,older adult
sub_CC610508,older adult
sub_CC610568,older adult
sub_CC610575,older adult
sub_CC610576,older adult
sub_CC610594,older adult
sub_CC610625,older adult
sub_CC610631,older adult
sub_CC610653,older adult
sub_CC610658,older adult
sub_CC610671,older adult
sub_CC620005,older adult
sub_CC620026,older adult
sub_CC620073,older adult
sub_CC620085,older adult
sub_CC620090,older adult
sub_CC620106,older adult
sub_CC620114,older adult
sub_CC620118,older adult
sub_CC620121,older adult
sub_CC620129,older adult
sub_CC620152,older adult
sub_CC620164,older adult
sub_CC620193,older adult
sub_CC620259,older adult
sub_CC620262,older adult
sub_CC620264,older adult
sub_CC620279,older adult
sub_CC620284,older adult
sub_CC620314,older adult
sub_CC620354,older adult
sub_CC620359,older adult
sub_CC620405,older adult
sub_CC620406,older adult
sub_CC620413,older adult
sub_CC620429,older adult
sub_CC620436,older adult
sub_CC620444,older adult
sub_CC620451,older adult
sub_CC620454,older adult
sub_CC620466,older adult
sub_CC620479,older adult
sub_CC620490,older adult
sub_CC620496,older adult
sub_CC620499,older adult
sub_CC620515,older adult
sub_CC620518,older adult
sub_CC620526,older adult
sub_CC620549,older adult
sub_CC620557,older adult
sub_CC620567,older adult
sub_CC620572,older adult
sub_CC620592,older adult
sub_CC620610,older adult
sub_CC620619,older adult
sub_CC620659,older adult
sub_CC620720,older adult
sub_CC620785,older adult
sub_CC620793,older adult
sub_CC620821,older adult
sub_CC620885,older adult
sub_CC620919,older adult
sub_CC620935,older adult
sub_CC621011,older adult
sub_CC621080,older adult
sub_CC621128,older adult
sub_CC621184,older adult
sub_CC621199,older adult
sub_CC621248,older adult
sub_CC621284,older adult
sub_CC621642,older adult
sub_CC710037,older adult
sub_CC710088,older adult
sub_CC710131,older adult
sub_CC710154,older adult
sub_CC710176,older adult
sub_CC710214,older adult
sub_CC710313,older adult
sub_CC710342,older adult
sub_CC710350,older adult
sub_CC710382,older adult
sub_CC710429,older adult
sub_CC710446,older adult
sub_CC710462,older adult
sub_CC710486,older adult
sub_CC710494,older adult
sub_CC710548,older adult
sub_CC710551,older adult
sub_CC710566,older adult
sub_CC710591,older adult
sub_CC710664,older adult
sub_CC710679,older adult
sub_CC710982,older adult
sub_CC711027,older adult
sub_CC711035,older adult
sub_CC711128,older adult
sub_CC711158,older adult
sub_CC711245,older adult
sub_CC712027,older adult
sub_CC720023,older adult
sub_CC720071,older adult
sub_CC720103,older adult
sub_CC720119,older adult
sub_CC720188,older adult
sub_CC720238,older adult
sub_CC720290,older adult
sub_CC720304,older adult
sub_CC720329,older adult
sub_CC720358,older adult
sub_CC720400,older adult
sub_CC720407,older adult
sub_CC720497,older adult
sub_CC720511,older adult
sub_CC720516,older adult
sub_CC720622,older adult
sub_CC720646,older adult
sub_CC720670,older adult
sub_CC720685,older adult
sub_CC720941,older adult
sub_CC720986,older adult
sub_CC721052,older adult
